,Date,High,Low,Open,Price
1916,2012-12-13,"1,712.11","1,689.55","1,711.81","1,697.30"
1917,2012-12-12,"1,723.41","1,707.84","1,709.99","1,711.95"
1918,2012-12-11,"1,714.60","1,705.04","1,712.30","1,710.10"
1919,2012-12-10,"1,717.60","1,702.64","1,704.45","1,710.25"
1920,2012-12-07,"1,705.61","1,684.40","1,699.31","1,703.65"
1921,2012-12-06,"1,703.38","1,686.11","1,693.87","1,699.14"
1922,2012-12-05,"1,707.18","1,684.98","1,697.47","1,693.99"
1923,2012-12-04,"1,717.67","1,691.25","1,715.55","1,697.35"
1924,2012-12-03,"1,722.11","1,712.99","1,713.90","1,715.25"
1925,2012-11-30,"1,731.90","1,709.09","1,725.71","1,714.80"
1926,2012-11-29,"1,728.71","1,718.40","1,719.50","1,725.40"
1927,2012-11-28,"1,743.23","1,706.03","1,741.92","1,719.69"
1928,2012-11-27,"1,751.80","1,738.89","1,748.94","1,742.05"
1929,2012-11-26,"1,753.11","1,746.10","1,753.11","1,749.10"
1930,2012-11-23,"1,754.60","1,728.39","1,729.55","1,753.00"
1931,2012-11-22,"1,732.75","1,728.35","1,729.09","1,729.55"
1932,2012-11-21,"1,732.08","1,720.91","1,728.57","1,729.11"
1933,2012-11-20,"1,735.81","1,722.40","1,732.11","1,728.65"
1934,2012-11-19,"1,735.34","1,713.43","1,713.54","1,731.94"
1935,2012-11-16,"1,717.51","1,706.10","1,716.11","1,713.70"
1936,2012-11-15,"1,727.96","1,705.30","1,726.45","1,715.80"
1937,2012-11-14,"1,733.40","1,720.81","1,725.50","1,726.45"
1938,2012-11-13,"1,733.21","1,718.30","1,728.51","1,725.50"
1939,2012-11-12,"1,738.41","1,725.90","1,732.00","1,728.35"
1940,2012-11-09,"1,739.05","1,727.05","1,731.64","1,731.24"
1941,2012-11-08,"1,735.82","1,713.61","1,717.32","1,730.99"
1942,2012-11-07,"1,731.79","1,702.97","1,715.98","1,716.69"
1943,2012-11-06,"1,721.01","1,683.80","1,684.93","1,715.95"
1944,2012-11-05,"1,686.57","1,672.85","1,677.20","1,684.60"
1945,2012-11-02,"1,717.06","1,674.44","1,714.79","1,677.85"
1946,2012-11-01,"1,727.11","1,713.55","1,720.66","1,714.70"
1947,2012-10-31,"1,726.05","1,709.54","1,709.96","1,720.55"
1948,2012-10-30,"1,715.61","1,705.20","1,710.06","1,709.49"
1949,2012-10-29,"1,717.57","1,706.00","1,711.50","1,709.85"
1950,2012-10-26,"1,718.91","1,700.95","1,712.00","1,711.35"
1951,2012-10-25,"1,718.21","1,701.40","1,701.85","1,711.80"
1952,2012-10-24,"1,714.56","1,698.89","1,708.39","1,702.43"
1953,2012-10-23,"1,730.60","1,704.11","1,728.40","1,708.70"
1954,2012-10-22,"1,729.61","1,714.00","1,721.80","1,729.45"
1955,2012-10-19,"1,743.58","1,716.29","1,740.59","1,720.90"
1956,2012-10-18,"1,752.40","1,738.41","1,749.91","1,741.70"
1957,2012-10-17,"1,753.81","1,743.20","1,748.40","1,750.30"
1958,2012-10-16,"1,748.61","1,734.90","1,736.30","1,747.80"
1959,2012-10-15,"1,753.60","1,729.36","1,753.60","1,736.10"
1960,2012-10-12,"1,773.60","1,752.34","1,768.79","1,754.25"
1961,2012-10-11,"1,775.31","1,758.70","1,761.80","1,768.80"
1962,2012-10-10,"1,768.41","1,757.47","1,764.26","1,762.55"
1963,2012-10-09,"1,779.96","1,760.55","1,775.45","1,764.15"
1964,2012-10-08,"1,780.90","1,766.75","1,780.71","1,774.90"
